Codigo;Machine readability;Non-proprietary;"Download options
";Metadata availability;"Terms of use
";Openness subscore
165;0;1;0,5;0,5;1;3
166;0;1;0,5;0,5;1;3
167;0,5;1;0,5;0,5;1;3,5
168;0,5;1;0,5;0,5;0;2,5
169;1;0;0;0,5;0;1,5
170;0,5;1;0,5;0,5;0,5;3
171;0,5;1;0,5;0,5;1;3,5
172;0;1;0,5;0,5;1;3
173;0,5;1;0,5;0,5;0,5;3
174;0,5;1;0,5;0,5;0;2,5
175;0,5;1;0,5;0,5;0;2,5
176;0,5;1;0,5;0,5;1;3,5
177;0,5;0,5;0,5;0,5;0;2
178;0,5;1;0,5;0,5;0;2,5
179;0;1;0,5;1;0;2,5
180;0,5;1;0,5;0,5;0;2,5
181;0;1;0,5;0,5;0,5;2,5
182;1;1;1;0,5;0;3,5
183;0;1;0;0,5;0;1,5
184;0;1;0,5;1;0;2,5
185;0,5;1;0,5;0,5;0,5;3
186;1;1;0,5;0,5;0,5;3,5
187;1;1;1;0,5;1;4,5
188;1;1;1;1;1;5
189;1;1;1;0,5;1;4,5
190;0,5;1;0,5;0,5;0,5;3
191;1;1;0,5;0,5;1;4
192;0;1;0;0,5;0;1,5
193;0;0;0;0;0;0
194;0;1;0,5;0,5;0;2
195;0;1;0,5;0,5;0;2
196;0;1;0;0,5;0;1,5
197;1;1;1;0,5;1;4,5

